,Nombre,Descripcion,Link de la herramienta,Link de la imagen,Pago/Gratis,Categoria
0,Kalendar AI, Kalendar AI books new meetings by sourcing and engaging your ideal customer profiles.,https://www.toolify.ai/es/tool/kalendar-ai,"https://cdn-images.toolify.ai/16826726720582450.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,ai-chatbots
1,Standuply: Poll & Survey Scrum Bot,"Standuply is the #1 Standup Bot. It runs asynchronous stand-up & retrospective meetings, Slack polls, and tracks team performance to automate your Agile processes.",https://www.toolify.ai/es/tool/standuply-poll-survey-scrum-bot,"https://cdn-images.toolify.ai/168267234786943849.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,ai-chatbots
2,Voiceflow ai,"Voiceflow is the leading conversation design platform used by 100,000+ people from companies big and small to build Assistants together. Whether it’s customer support or personal automation, you can collaboratively design, prototype and build Assistants of any scale or complexity on Voiceflow.",https://www.toolify.ai/es/tool/voiceflow-ai,"https://cdn-images.toolify.ai/168267085665188485.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,ai-chatbots
3,Dashworks ai,"Dashworks enables teams to find and organize their knowledge across apps from one place, and leverage their collective expertise. So you and your team can spend less time searching and answering questions, and more time building the future.",https://www.toolify.ai/es/tool/dashworks-ai,"https://cdn-images.toolify.ai/16826683733377443.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,ai-chatbots
4,Siedesk - Help Center & Knowledge Base,"The all-in-one solution for creating and managing internal and external knowledge bases. Features include AI-assisted article writing, SSL security, SEO optimization, and customizable branding. Monitor Article performance and improve customer experience.",https://www.toolify.ai/es/tool/siedesk-help-center-knowledge-base,"https://cdn-images.toolify.ai/168266682536325841.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,ai-chatbots
5,OpenAI,"OpenAI is the for-profit corporation OpenAI LP, whose parent organization is the non-profit organization OpenAI Inc, which conducts research in the field of artificial intelligence with the stated aim to promote and develop friendly AI in such a way as...",https://www.toolify.ai/es/tool/openai,"https://cdn-images.toolify.ai/168267311532311562.jpg?x-oss-process=image/resize,l_600,m_lfit",free,ai-chatbots
6,Bnomial ai,"We publish one machine learning question every day. That's it! You load the page, answer the question, and return the next day. Rinse and repeat.",https://www.toolify.ai/es/tool/bnomial-ai,"https://cdn-images.toolify.ai/168267072087294756.jpg?x-oss-process=image/resize,l_600,m_lfit",free,ai-chatbots
7,Chat GPT for android,📱Native android app that uses chatGPT technology. At the moment the app only supports email and Microsoft account login. Google authentication has been fixed and is currently pending review. Enjoy a seamless and intuitive user experience that makes it easy to get the help you need.,https://www.toolify.ai/es/tool/chat-gpt-for-android,"https://cdn-images.toolify.ai/168266883011450385.jpg?x-oss-process=image/resize,l_600,m_lfit",free,ai-chatbots
8,Sonero,Sonero is an AI based enterprise platform designed to help people become effective and engaging speakers. It uses cutting-edge speech and facial recognition machine learning models to give instant feedback and recommendations on how to communicate better.,https://www.toolify.ai/es/tool/sonero,"https://cdn-images.toolify.ai/168264907739666870.jpg?x-oss-process=image/resize,l_600,m_lfit",free,ai-chatbots
9,BLOONY,"BLOONY is an AI chatting buddy that you can keep a conversation with BLOONY as you are talking to a friend! Just letting you know, BLOONY loves to travel. 😉 If you need someone to talk to about your last trip or pour your heart out, why don’t you give it a try?",https://www.toolify.ai/es/tool/bloony,"https://cdn-images.toolify.ai/168259234827745941.jpg?x-oss-process=image/resize,l_600,m_lfit",free,ai-chatbots
10,Elai.io,We help companies generate educational and marketing video content with real humans from just text.,https://www.toolify.ai/es/tool/elai-io,"https://cdn-images.toolify.ai/168249024710415120.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,video-generator
11,Waymark,"Waymark’s AI video creator makes it easy to create spec creative for any prospect. Now, you can walk into every meeting with fully customized sample commercials.",https://www.toolify.ai/es/tool/waymark,"https://cdn-images.toolify.ai/image/9355745c8de8b06fb0846f7fbbb40f04.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,video-generator
12,Colossyan,Colossyan Creator makes video creation simple and stress-free. Discover our AI video creator with real actors. Create videos in less than 5 minutes. Start for free here.,https://www.toolify.ai/es/tool/colossyan,"https://cdn-images.toolify.ai/image/e6481a7900cb9bf67d69401a4ab87db1.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,video-generator
13,HeyGen,"CREATE ENGAGING VIDEOS 10X FASTER WITH AI
Meet HeyGen - The best AI video generation platform for your team.",https://www.toolify.ai/es/tool/heygen,"https://cdn-images.toolify.ai/168169776487715523.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,video-generator
14,LiveReacting AI,Elevate your live shows with our AI host. Save time and money while providing an interactive and engaging experience for your audience.,https://www.toolify.ai/es/tool/livereacting-ai,"https://cdn-images.toolify.ai/image/018da0c4c7b4930676e77d87713001de.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,video-generator
15,Elai.io,We help companies generate educational and marketing video content with real humans from just text.,https://www.toolify.ai/es/tool/elai-io,"https://cdn-images.toolify.ai/168249024710415120.jpg?x-oss-process=image/resize,l_600,m_lfit",free,video-generator
16,vidBoard,"Our AI-powered platform creates impressive video presentations with talking avatars. All you need to do – select a human picture, type in the text, add multimedia elements, and VOILA- our cool AI tool converts all this into a stunning video, instantly!",https://www.toolify.ai/es/tool/vidboard,"https://cdn-images.toolify.ai/168241869877812327.jpg?x-oss-process=image/resize,l_600,m_lfit",free,video-generator
17,FILM,"FILM - Frame Interpolation for Large Scene Motion.
Frames are generated between two existing images (Interpolation) in attempt to create a animation.",https://www.toolify.ai/es/tool/film,"https://cdn-images.toolify.ai/167932366174872920.png?x-oss-process=image/resize,l_600,m_lfit",free,video-generator
18,Artflow ai,"Effortlessly turn ideas into Animated Stories & let the Creativity flow.
Artflow.ai lets you create your own, unique Animated Stories with original characters using assets generated with AI.",https://www.toolify.ai/es/tool/artflow-ai,"https://cdn-images.toolify.ai/image/835162aeaebe23d703b27658ff646be1.jpeg?x-oss-process=image/resize,l_600,m_lfit",free,video-generator
19,HeyGen,"CREATE ENGAGING VIDEOS 10X FASTER WITH AI
Meet HeyGen - The best AI video generation platform for your team.",https://www.toolify.ai/es/tool/heygen,"https://cdn-images.toolify.ai/168169776487715523.jpg?x-oss-process=image/resize,l_600,m_lfit",free,video-generator
20,Maze Guru,"Maze. Guru, as an AI image generator, supports you to create beautiful digital artworks quickly. You just need to use a text prompt to turn your ideas into unique paintings in seconds. Users can customize the art style model, and turn imagination into art through text description. If you're a fun Anime model and want to generate Anime characters. Enjoy the pleasure of being unique, inspired, and unlimited by creating your own anime character from text or images.",https://www.toolify.ai/es/tool/maze-guru,"https://cdn-images.toolify.ai/168019509322473117.png?x-oss-process=image/resize,l_600,m_lfit",paid,image-generator
21,TattoosAI,"Create the perfect tattoo design with your personal
AI-powered tattoo artist
If you have an idea for a tattoo but can't find the right design, let our AI generate one within seconds. It lets you create the perfect design based on what you like, and it will give you unlimited options so that there's something for everyone.",https://www.toolify.ai/es/tool/tattoosai,"https://cdn-images.toolify.ai/167901644995235419.png?x-oss-process=image/resize,l_600,m_lfit",paid,image-generator
22,Artssy,Create unlimited images in 1 click with Artssy AI and discover a world of possibilities. Stop paying for royaty free photos when you can create the perfect image instantly.,https://www.toolify.ai/es/tool/artssy,"https://cdn-images.toolify.ai/image/cf5db00aebef37e3e31030c2e25ed240.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,image-generator
23,Evoke,"Evoke allows devs and businesses building AI apps to avoid expensive cloud setup by hosting AI models on the cloud that are accessible through APIs.
Our stable diffusion API allows users to create AI generated images for their AI apps without cloud setup.",https://www.toolify.ai/es/tool/evoke,"https://cdn-images.toolify.ai/image/13210054aab1825d5f1116e0af25961e.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,image-generator
24,88stacks,"Producing eye-catching and engaging images that fit with your brand's image and messaging is crucial but can be time-consuming and challenging. Images that tap into current events and popular culture are more likely to be shared, liked, and commented on by followers, increasing overall engagement on the brand's social media platforms. 88stacks provide an endless stream of content for you.",https://www.toolify.ai/es/tool/88stacks,"https://cdn-images.toolify.ai/image/e8ee46590e27c0dbcba86bed056e8573.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,image-generator
25,Stable Diffusion - DreamStudio,Stable Diffusion is a state of the art open source image generating AI. DreamStudio is the official team interface and API for Stable Diffusion.,https://www.toolify.ai/es/tool/stable-diffusion-dreamstudio,"https://cdn-images.toolify.ai/168258786910525885.png?x-oss-process=image/resize,l_600,m_lfit",free,image-generator
26,ZMO.AI,"AI image generation, Art generation, Object Removal tools, image editing, and more. Your next-generation content creation platform powered by AI.",https://www.toolify.ai/es/tool/zmo-ai,"https://cdn-images.toolify.ai/16825876539934155.jpg?x-oss-process=image/resize,l_600,m_lfit",free,image-generator
27,Kive,"Kive is an AI-powered creative collaboration platform to manage inspiration, build powerful archives or work together on planning creative projects.",https://www.toolify.ai/es/tool/kive,"https://cdn-images.toolify.ai/168258028615256660.jpg?x-oss-process=image/resize,l_600,m_lfit",free,image-generator
28,DDMM,"Introducing DDMM (Alpha), where you can search for every image, from everywhere, all at once. If the humanities have failed you, you can simply create AI-powered images based on your search quarry or selected sample image.",https://www.toolify.ai/es/tool/ddmm,"https://cdn-images.toolify.ai/168257889437841386.jpg?x-oss-process=image/resize,l_600,m_lfit",free,image-generator
29,Open Dream,"With OpenDream, everyone can become an AI Art digital artist Let s create a piece of art, upscale and create variations and share with your friends now!",https://www.toolify.ai/es/tool/open-dream,"https://cdn-images.toolify.ai/168114171523268617.jpg?x-oss-process=image/resize,l_600,m_lfit",free,image-generator
30,Listnr,"AI Voice Generator with over 600+ voiceovers in 80+ languages, go from Text to Voice in seconds, export your voices easily in MP3 or WAV format.",https://www.toolify.ai/es/tool/listnr,"https://cdn-images.toolify.ai/image/006dc9af493f8dd52f15fa4ccbf96852.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,text-to-speech
31,Audioread,"Turn your reads into podcasts. Listen to any article, PDF, email, etc in your podcast app.",https://www.toolify.ai/es/tool/audioread,"https://cdn-images.toolify.ai/image/165dcf71969e5cf2d611a5af7de5772c.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,text-to-speech
32,TTSLabs,"TTSLabs gives twitch streamers the ability to customize their Text to Speech donations, enable custom voices, add unique sound clips and more! All with the power of AI TTS and seamless integration with Twitch, Streamlabs and Streamelements.",https://www.toolify.ai/es/tool/ttslabs,"https://cdn-images.toolify.ai/image/c806899802d04fcd06008f2eae39c201.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,text-to-speech
33,Blakify,"Text-to-speech software with over 800+ voices and 90 Languages. Bring static content, like ebooks, PDFs, and other training documents, to life.",https://www.toolify.ai/es/tool/blakify,"https://cdn-images.toolify.ai/image/c231b4e1394681c4022d17cf6ef24d22.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,text-to-speech
34,Verbatik,Generate Realistic Text to Speech (TTS) audio using AI Voice Generator and best synthetic voices. Instantly convert text in to natural-sounding speech and download as MP3 and WAV audio files. Choose from a growing library of over 600+ natural sounding voices with humanlike intonation in 142 languages and accents powered by advanced machine learning technology.,https://www.toolify.ai/es/tool/verbatik,"https://cdn-images.toolify.ai/image/73cd1b0bcd05f28acc8b80caae1ee5aa.jpeg?x-oss-process=image/resize,l_600,m_lfit",paid,text-to-speech
35,Splashmusic,Bringing the joy of music making to everyone,https://www.toolify.ai/es/tool/splashmusic,"https://cdn-images.toolify.ai/image/f03e4e7ecc922bdc4a7fd96c5bd8c6b7.jpeg?x-oss-process=image/resize,l_600,m_lfit",free,text-to-speech
36,Ask My Book,"Ask My Book is an AI experiment by Sahil Lavingia, the founder of Gumroad to make his book more accessible. You can use Ask My Book to ask a question and get an answer in his voice.",https://www.toolify.ai/es/tool/ask-my-book,"https://cdn-images.toolify.ai/image/2de926ae7dca306107c50fa68daa6c1d.jpeg?x-oss-process=image/resize,l_600,m_lfit",free,text-to-speech
37,TTSLabs,"TTSLabs gives twitch streamers the ability to customize their Text to Speech donations, enable custom voices, add unique sound clips and more! All with the power of AI TTS and seamless integration with Twitch, Streamlabs and Streamelements.",https://www.toolify.ai/es/tool/ttslabs,"https://cdn-images.toolify.ai/image/c806899802d04fcd06008f2eae39c201.jpeg?x-oss-process=image/resize,l_600,m_lfit",free,text-to-speech
38,TTSMaker,"TTSMaker is a completely free online text-to-speech tool that supports unlimited usage, including commercial use.
With over 200 AI voices and support for multiple languages including English, French, German, Spanish, Arabic, Chinese, Japanese, Korean, Vietnamese, and more, you can choose from a variety of voice styles to read your text and e-books aloud.
You can also download the synthesized audio files. No registration or payment is required, you can use it directly online for free forever.",https://www.toolify.ai/es/tool/ttsmaker,"https://cdn-images.toolify.ai/image/7187f3310c649bb4815796b3814ee48b.jpeg?x-oss-process=image/resize,l_600,m_lfit",free,text-to-speech
39,Uberduck,"It provides users with tools to create voice-over audio with over 5,000 expressive voices, as well as custom voice clones. It also has APIs to build audio applications and AI-generated raps. There is a case study to demonstrate how it can be used to create personalized media and a waitlist to join the upcoming Uberbots platform.",https://www.toolify.ai/es/tool/uberduck,"https://cdn-images.toolify.ai/image/f286663ba2ccc3d70dbe59b7b6727fd9.jpeg?x-oss-process=image/resize,l_600,m_lfit",free,text-to-speech
40,Koffy,"A web application similar to a daily newspaper that allows you to be aware of the entire cryptocurrency ecosystem. Our solution includes a clear data header on the market, news summarized by our AI, and a market thermometer on social networks.",https://www.toolify.ai/es/tool/koffy,"https://cdn-images.toolify.ai/168264891086114542.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,summarizer
41,Fireflies.ai 👔,"Record, transcribe and search your calls in one central place. Fireflies lets you search all your past convos and create action items in seconds. Easiest meeting minutes, ever.",https://www.toolify.ai/es/tool/fireflies-ai-1,"https://cdn-images.toolify.ai/16825908237646543.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,summarizer
42,Tactiq,"👋Lead the conversation and let Tactiq take care of the notes!
📝 Bot-free high-quality real-time transcript
💾 Instantly turn long transcripts into actionable workflows
🤖 Let ChatGPT extract tasks and follow-ups for you.",https://www.toolify.ai/es/tool/tactiq,"https://cdn-images.toolify.ai/168255955465847488.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,summarizer
43,Typed,"It's a one-stop tool for documentation writing where you can collect/manage resources, set an outline, and write a final draft while referring to collected resources on the side ➡️ It's Pocket, Workflowy, Google Docs put into one tool, only in a better form 🤗",https://www.toolify.ai/es/tool/typed,"https://cdn-images.toolify.ai/1682487752948877.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,summarizer
44,ProSEOAI,"Auto Generate AI SEO articles from youtube video, 100% Bypass AI content detectors.and generate professional SEO articles for you in 30s",https://www.toolify.ai/es/tool/proseoai,"https://cdn-images.toolify.ai/168204999697071315.jpg?x-oss-process=image/resize,l_600,m_lfit",paid,summarizer
45,Zoom to Beautiful Summary Converter,"'Zoom to Summary converter' is a preview of Typeform's new conversational product Relayed.ai. Import any Zoom meeting (or any meeting file) and output a beautiful AI-generated summary. To learn more about the full product, check out https://relayed.ai.",https://www.toolify.ai/es/tool/zoom-to-beautiful-summary-converter,"https://cdn-images.toolify.ai/168258775885575051.jpg?x-oss-process=image/resize,l_600,m_lfit",free,summarizer
46,NewsDeck (from OneSub),The full power of OneSub's Newsreader AI in the palm of your hands. An awesome utility from the tiny team that brought you Charlie & OneSub.,https://www.toolify.ai/es/tool/newsdeck-from-onesub,"https://cdn-images.toolify.ai/168258645821876085.jpg?x-oss-process=image/resize,l_600,m_lfit",free,summarizer
47,Tactiq,"👋Lead the conversation and let Tactiq take care of the notes!
📝 Bot-free high-quality real-time transcript
💾 Instantly turn long transcripts into actionable workflows
🤖 Let ChatGPT extract tasks and follow-ups for you.",https://www.toolify.ai/es/tool/tactiq,"https://cdn-images.toolify.ai/168255955465847488.jpg?x-oss-process=image/resize,l_600,m_lfit",free,summarizer
48,Typed,"It's a one-stop tool for documentation writing where you can collect/manage resources, set an outline, and write a final draft while referring to collected resources on the side ➡️ It's Pocket, Workflowy, Google Docs put into one tool, only in a better form 🤗",https://www.toolify.ai/es/tool/typed,"https://cdn-images.toolify.ai/1682487752948877.jpg?x-oss-process=image/resize,l_600,m_lfit",free,summarizer
49,Saga AI,"Saga is a collaborative workspace for your notes, documents, and tasks. With Saga AI, you can generate new content, brainstorm ideas, translate, summarize, or get answers to any question.
Saga AI is integrated directly into your workspace, so you don't have to switch between apps and copy and paste all the time. You can also have multiple documents open in one screen, and just as many AI conversations to supercharge your day-to-day work!",https://www.toolify.ai/es/tool/saga-ai,"https://cdn-images.toolify.ai/168122456032029537.jpg?x-oss-process=image/resize,l_600,m_lfit",free,summarizer
